case_id,family,n_vars,n_clauses,width,status,witness,assignments,nodes,decisions,propagations,conflicts,literal_checks,xor_source_rows,xor_source_literals,xor_calls,xor_row_checks,xor_pairs,xor_pair_bit_volume,xor_derived,xor_peak_rows,xor_cutoffs,xor_forced
cycle-n10-1,cycle,10,20,0,UNSAT,,0,3,1,18,2,424,10,20,0,0,0,0,0,0,0,0
cycle-n10-1,cycle,10,20,2,UNSAT,,0,1,0,0,1,40,10,20,1,10,269,2198,35,45,0,0
cycle-n10-1,cycle,10,20,3,UNSAT,,0,1,0,0,1,40,10,20,1,10,269,2198,35,45,0,0
cycle-n10-1,cycle,10,20,4,UNSAT,,0,1,0,0,1,40,10,20,1,10,2587,23167,245,255,0,0
mixed-n14-s0,mixed,14,56,0,SAT,00010101001011,0,13,7,37,5,2714,7,21,0,0,0,0,0,0,0,0
mixed-n14-s0,mixed,14,56,2,SAT,00010101001011,0,11,6,30,4,2510,7,21,7,49,27,261,6,8,0,0
mixed-n14-s0,mixed,14,56,3,SAT,00010101001011,0,9,5,32,3,2421,7,21,6,42,1499,18474,84,33,0,2
mixed-n14-s0,mixed,14,56,4,SAT,00010101001011,0,9,5,32,3,2421,7,21,6,42,4944,62873,191,48,0,2
planted-n14-s0,planted,14,56,0,SAT,01000110111010,0,16,9,36,6,2664,7,21,0,0,0,0,0,0,0,0
planted-n14-s0,planted,14,56,2,SAT,01000110111010,0,8,5,16,2,1422,7,21,6,41,195,2241,22,15,0,0
planted-n14-s0,planted,14,56,3,SAT,01000110111010,0,5,3,17,1,1087,7,21,4,28,552,6581,42,24,0,2
planted-n14-s0,planted,14,56,4,SAT,01000110111010,0,5,3,17,1,1087,7,21,4,28,2603,33403,115,51,0,2
cnf-only-n14-s0,cnf-only,14,56,0,SAT,00100000011000,0,13,8,20,4,1649,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s0,cnf-only,14,56,2,SAT,00100000011000,0,13,8,20,4,1649,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s0,cnf-only,14,56,3,SAT,00100000011000,0,13,8,20,4,1649,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s0,cnf-only,14,56,4,SAT,00100000011000,0,13,8,20,4,1649,0,0,0,0,0,0,0,0,0,0
mixed-n14-s1,mixed,14,56,0,SAT,01000100001001,0,6,4,11,1,999,7,21,0,0,0,0,0,0,0,0
mixed-n14-s1,mixed,14,56,2,SAT,01000100001001,0,6,4,11,1,999,7,21,4,28,28,347,4,7,0,0
mixed-n14-s1,mixed,14,56,3,SAT,01000100001001,0,6,4,11,1,999,7,21,4,28,406,5161,29,21,0,0
mixed-n14-s1,mixed,14,56,4,SAT,01000100001001,0,6,4,11,1,999,7,21,4,28,1339,17359,76,36,0,0
planted-n14-s1,planted,14,56,0,SAT,01001000010001,0,5,4,9,0,990,7,21,0,0,0,0,0,0,0,0
planted-n14-s1,planted,14,56,2,SAT,01001000010001,0,5,4,9,0,990,7,21,4,28,4,55,1,3,0,0
planted-n14-s1,planted,14,56,3,SAT,01001000010001,0,5,4,9,0,924,7,21,5,35,429,5185,35,19,0,3
planted-n14-s1,planted,14,56,4,SAT,01001000010001,0,5,4,9,0,924,7,21,5,35,1783,23073,89,38,0,3
cnf-only-n14-s1,cnf-only,14,56,0,SAT,00100011011011,0,20,10,60,9,4254,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s1,cnf-only,14,56,2,SAT,00100011011011,0,20,10,60,9,4254,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s1,cnf-only,14,56,3,SAT,00100011011011,0,20,10,60,9,4254,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s1,cnf-only,14,56,4,SAT,00100011011011,0,20,10,60,9,4254,0,0,0,0,0,0,0,0,0,0
mixed-n14-s2,mixed,14,56,0,SAT,00100001110001,0,10,6,25,3,2028,7,21,0,0,0,0,0,0,0,0
mixed-n14-s2,mixed,14,56,2,SAT,00100001110001,0,10,6,25,3,2028,7,21,6,42,121,1519,17,11,0,0
mixed-n14-s2,mixed,14,56,3,SAT,00100001110001,0,7,4,21,2,1522,7,21,6,42,918,11776,66,26,0,2
mixed-n14-s2,mixed,14,56,4,SAT,00100001110001,0,7,4,21,2,1522,7,21,6,42,2473,32257,133,37,0,2
planted-n14-s2,planted,14,56,0,SAT,10110000101001,0,16,9,52,6,3943,7,21,0,0,0,0,0,0,0,0
planted-n14-s2,planted,14,56,2,SAT,10110000101001,0,16,9,52,6,3943,7,21,9,63,100,1015,12,11,0,0
planted-n14-s2,planted,14,56,3,SAT,00011101111001,0,13,7,47,5,3568,7,21,8,56,1074,11849,70,26,0,1
planted-n14-s2,planted,14,56,4,SAT,00011101111001,0,13,7,47,5,3568,7,21,8,56,3626,41685,183,43,0,1
cnf-only-n14-s2,cnf-only,14,56,0,SAT,00100010010110,0,6,4,21,1,1567,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s2,cnf-only,14,56,2,SAT,00100010010110,0,6,4,21,1,1567,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s2,cnf-only,14,56,3,SAT,00100010010110,0,6,4,21,1,1567,0,0,0,0,0,0,0,0,0,0
